,,Monthly Nominal GDP Index,Monthly Real GDP Index
2012 - Nov,11/1/2012,16410.068,17490.270
2012 - Dec,12/1/2012,16507.576,17565.489
2013 - Jan,1/1/2013,16684.359,17726.132
2013 - Feb,2/1/2013,16602.480,17600.894
2013 - Mar,3/1/2013,16657.728,17660.817
2013 - Apr,4/1/2013,16674.571,17690.589
2013 - May,5/1/2013,16672.390,17657.711
2013 - Jun,6/1/2013,16839.100,17781.306
2013 - Jul,7/1/2013,16874.453,17796.132
2013 - Aug,8/1/2013,16988.693,17896.955
2013 - Sep,9/1/2013,16998.368,17888.851
2013 - Oct,10/1/2013,17113.690,17981.187
2013 - Nov,11/1/2013,17222.619,18055.688
2013 - Dec,12/1/2013,17239.747,18012.081
2014 - Jan,1/1/2014,17122.834,17884.225
2014 - Feb,2/1/2014,17219.865,17991.350
2014 - Mar,3/1/2014,17250.516,17986.848
2014 - Apr,4/1/2014,17404.813,18109.730
2014 - May,5/1/2014,17542.637,18199.892
2014 - Jun,6/1/2014,17608.074,18248.619
2014 - Jul,7/1/2014,17756.920,18371.488
2014 - Aug,8/1/2014,17860.465,18466.132
2014 - Sep,9/1/2014,17795.300,18383.765
2014 - Oct,10/1/2014,17902.599,18491.470
2014 - Nov,11/1/2014,17918.274,18501.281
2014 - Dec,12/1/2014,17915.364,18507.841
2015 - Jan,1/1/2015,18001.906,18651.175
2015 - Feb,2/1/2015,18125.073,18732.152
2015 - Mar,3/1/2015,18063.608,18616.970
2015 - Apr,4/1/2015,18242.013,18783.425
2015 - May,5/1/2015,18257.736,18750.110
2015 - Jun,6/1/2015,18339.604,18813.517
2015 - Jul,7/1/2015,18370.508,18823.063
2015 - Aug,8/1/2015,18376.238,18827.767
2015 - Sep,9/1/2015,18458.132,18921.738
2015 - Oct,10/1/2015,18468.426,18916.516
2015 - Nov,11/1/2015,18389.438,18839.269
2015 - Dec,12/1/2015,18447.547,18921.054
2016 - Jan,1/1/2016,18494.813,18980.589
2016 - Feb,2/1/2016,18466.998,18956.266
2016 - Mar,3/1/2016,18615.987,19068.511
2016 - Apr,4/1/2016,18690.966,19078.063
2016 - May,5/1/2016,18695.659,19050.447
2016 - Jun,6/1/2016,18748.480,19059.833
2016 - Jul,7/1/2016,18794.575,19115.375
2016 - Aug,8/1/2016,18879.516,19193.594
2016 - Sep,9/1/2016,19003.826,19284.878
2016 - Oct,10/1/2016,18982.267,19217.842
2016 - Nov,11/1/2016,19105.004,19331.306
2016 - Dec,12/1/2016,19180.866,19363.926
2017 - Jan,1/1/2017,19221.290,19348.870
2017 - Feb,2/1/2017,19261.740,19374.903
2017 - Mar,3/1/2017,19357.222,19471.298
2017 - Apr,4/1/2017,19323.229,19396.711
2017 - May,5/1/2017,19439.090,19514.820
2017 - Jun,6/1/2017,19553.611,19609.357
2017 - Jul,7/1/2017,19583.713,19604.073
2017 - Aug,8/1/2017,19662.079,19634.363
2017 - Sep,9/1/2017,19831.993,19743.837
2017 - Oct,10/1/2017,19880.092,19758.131
2017 - Nov,11/1/2017,20068.430,19912.892
2017 - Dec,12/1/2017,20162.742,19975.970
2018 - Jan,1/1/2018,20256.820,20006.933
2018 - Feb,2/1/2018,20380.113,20092.369
2018 - Mar,3/1/2018,20348.726,20032.901
2018 - Apr ,4/1/2018,20470.089,20086.381
2018 - May,5/1/2018,20621.593,20183.643
2018 - Jun,6/1/2018,20651.054,20181.415
2018 - Jul,7/1/2018,20752.162,20258.815
2018 - Aug,8/1/2018,20813.605,20294.290
2018 - Sep,9/1/2018,20830.423,20275.391
2018 - Oct,10/1/2018,20888.405,20281.951
2018 - Nov,11/1/2018,20912.742,20302.752
2018 - Dec,12/1/2018,20952.454,20329.945
2019 - Jan,1/1/2019,21088.319,20443.420
2019 - Feb,2/1/2019,21077.100,20392.306
2019 - Mar,3/1/2019,21169.381,20459.242
2019 - Apr,4/1/2019,21310.773,20529.345
2019 - May,5/1/2019,21370.171,20575.406
2019 - Jun,6/1/2019,21512.869,20702.132
2019 - Jul,7/1/2019,21679.490,20812.654
2019 - Aug,8/1/2019,21711.168,20839.629
2019 - Sep,9/1/2019,21760.855,20877.709
2019 - Oct,10/1/2019,21807.386,20900.470
2019 - Nov,11/1/2019,21970.174,21028.332
2019 - Dec,12/1/2019,22022.092,21027.782
2020 - Jan,1/1/2020,22041.797,20989.315
